Datum|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EEK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|100 INR|100 ISK|100 JPY|100 KRW|1 LTL|1 LVL|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
02.01.2009|13,493|13,715|8,275|15,833|18,037|2,836|3,601|1,715|26,830|27,919|2,496|3,655|10,106|1,775|40,088|15,874|21,180|1,463|7,770|37,879|1,398|5,579|2,766|11,192|41,076|6,444|6,675|65,789|2,473|13,242|55,682|12,552|19,347|29,799|2,051
05.01.2009|13,944|13,675|8,467|16,232|17,759|2,884|3,593|1,710|26,760|28,581|2,540|3,665|10,019|1,803|40,784|16,035|21,092|1,498|7,750|37,850|1,444|5,631|2,849|11,478|41,743|6,468|6,609|67,600|2,498|13,383|56,351|12,805|19,695|30,335|2,079
06.01.2009|14,097|13,496|8,939|16,653|17,566|2,898|3,543|1,688|26,405|28,757|2,555|3,616|9,901|1,809|40,822|15,877|20,984|1,510|7,647|37,348|1,484|5,644|2,814|11,637|42,281|6,569|6,496|67,947|2,498|13,394|56,491|13,039|19,809|30,098|2,121
07.01.2009|13,854|13,337|8,697|16,236|17,370|2,808|3,505|1,669|26,120|28,861|2,475|3,577|9,814|1,785|39,454|15,609|20,579|1,484|7,565|36,961|1,427|5,481|2,781|11,481|41,302|6,572|6,367|65,890|2,470|13,048|55,081|12,622|19,185|28,891|2,050
08.01.2009|13,506|13,390|8,468|16,012|17,529|2,813|3,514|1,674|26,190|29,342|2,479|3,581|9,635|1,755|39,666|15,595|21,059|1,442|7,585|37,049|1,421|5,429|2,763|11,327|41,073|6,495|6,296|65,367|2,445|12,971|55,038|12,336|19,222|29,318|1,994
09.01.2009|13,672|13,540|8,481|16,351|17,658|2,831|3,553|1,692|26,480|29,592|2,495|3,616|9,591|1,767|40,290|15,581|21,281|1,441|7,669|37,475|1,412|5,466|2,790|11,434|41,041|6,546|6,257|66,365|2,470|13,075|55,551|12,481|19,351|29,514|2,005
12.01.2009|13,640|13,591|8,684|16,586|17,711|2,903|3,566|1,699|26,580|29,689|2,559|3,622|9,515|1,794|40,895|15,830|22,059|1,461|7,698|37,659|1,446|5,557|2,824|11,506|41,738|6,567|6,216|63,908|2,470|13,359|56,964|12,603|19,846|30,469|1,981
13.01.2009|13,465|13,681|8,700|16,390|18,005|2,952|3,591|1,710|26,760|29,372|2,601|3,644|9,635|1,813|41,205|15,948|22,570|1,490|7,750|37,952|1,456|5,638|2,830|11,149|42,463|6,461|6,251|64,620|2,450|13,544|57,781|12,607|20,174|30,698|2,001
14.01.2009|13,622|13,765|8,809|16,679|18,238|2,991|3,614|1,721|26,930|29,643|2,635|3,672|9,701|1,841|42,062|16,168|22,882|1,517|7,799|38,209|1,474|5,722|2,854|11,098|43,370|6,499|6,278|64,363|2,460|13,694|58,551|12,772|20,440|30,968|2,035
15.01.2009|13,776|13,952|8,725|16,668|18,531|3,051|3,664|1,745|27,300|30,441|2,688|3,708|9,700|1,875|42,786|16,135|23,335|1,498|7,907|38,762|1,465|5,804|2,895|11,198|44,009|6,455|6,346|64,529|2,484|13,928|59,780|12,893|20,860|31,534|2,049
